placekey,Median_Household_Income,Total_Population,case_rate,raw_visit_counts
17.0,39268.0,35939.206896551725,18.8,1741.0
18.0,47858.0,35597.97297297297,44.16,7261.0
16.0,49305.0,70092.60869565218,18.33,4028.0
17.0,69816.0,60757.58620689655,27.88,6779.0
25.0,69727.0,72518.23076923077,18.58,6532.0
5.0,4322.0,107659.5,23.34,1560.0
11.0,41057.0,79607.0625,13.91,3593.0
9.0,64819.0,70535.98113207547,21.03,3745.0
11.0,82057.0,45185.08571428571,29.39,2170.0
16.0,68909.0,41005.36956521739,30.84,1154.0
16.0,66153.0,77169.14285714286,11.02,5644.0
9.0,21162.0,96045.88888888889,28.25,885.0
14.0,60650.0,42876.37777777778,19.12,3694.0
12.0,51370.0,58552.44736842105,23.68,2105.0
27.0,9226.0,31536.85714285714,16.7,2207.0
17.0,32872.0,64702.77777777778,28.08,1544.0
11.0,32221.0,100087.96,8.14,370.0
13.0,26718.0,84755.125,19.97,2150.0
2.0,35492.0,83183.48387096774,20.04,1959.0
5.0,24540.0,78490.91304347826,15.73,292.0
11.0,38141.0,88669.05882352941,11.05,964.0
4.0,34171.0,80542.72,37.4,1129.0
77.0,61363.0,133295.9024390244,19.26,6074.0
6.0,71180.0,64310.73846153846,10.91,235.0
13.0,74649.0,57845.55737704918,28.54,1610.0
10.0,42031.0,90354.03125,19.85,574.0
7.0,82345.0,60267.811320754714,11.53,171.0
18.0,82736.0,51642.605633802814,21.34,6906.0
16.0,94959.0,54760.03389830508,23.02,6850.0
14.0,68203.0,92088.30645161291,28.14,6875.0
10.0,62788.0,78506.68,15.22,2851.0
33.0,59967.0,84678.72340425532,20.66,8313.0
11.0,51407.0,40087.92592592593,12.17,1760.0
8.0,62557.0,59509.63829787234,15.48,1961.0
19.0,85989.0,64325.333333333336,18.32,2542.0
21.0,61859.0,143231.08771929826,18.67,8636.0
12.0,51653.0,83041.57777777778,12.77,641.0
8.0,40126.0,137000.0303030303,17.13,222.0
15.0,63319.0,83818.55102040817,13.51,822.0
19.0,77871.0,47046.39344262295,15.54,1352.0
17.0,86486.0,58089.367647058825,41.23,1497.0
22.0,73277.0,70766.49206349206,20.87,1256.0
19.0,36327.0,103204.89743589744,27.68,4567.0
13.0,75425.0,66015.01612903226,18.41,1011.0
16.0,39470.0,46717.5,10.81,2390.0
9.0,53140.0,70510.64864864865,8.69,386.0
12.0,94874.0,64148.88333333333,10.27,1608.0
9.0,42273.0,78106.15789473684,15.56,2752.0
18.0,76323.0,75235.328125,21.55,2728.0
14.0,77477.0,70015.62121212122,21.37,6738.0
17.0,33736.0,136902.25806451612,16.05,1552.0
13.0,21575.0,77394.33333333333,70.15,815.0
19.0,73246.0,60004.142857142855,17.49,2909.0
20.0,83951.0,94128.4857142857,25.52,6741.0
27.0,75036.0,62939.32142857143,26.86,8733.0
18.0,97463.0,75830.06451612903,16.47,4773.0
14.0,47027.0,59593.61111111111,35.42,635.0
5.0,46716.0,114047.64864864865,11.2,454.0
11.0,13435.0,42096.42857142857,53.75,1728.0
10.0,51590.0,53591.27777777778,25.96,1395.0
3.0,74069.0,51788.8125,20.29,1606.0
7.0,21410.0,64562.07142857143,56.98,780.0
6.0,36810.0,86053.13793103448,28.41,501.0
2.0,37511.0,73282.22857142857,16.66,1194.0
5.0,16785.0,91249.30769230769,15.75,1654.0
3.0,28470.0,90942.0,11.38,310.0
4.0,19014.0,108156.26666666666,22.1,1223.0
4.0,5648.0,118327.4,29.69,276.0
2.0,33226.0,97608.5,11.21,396.0
4.0,34960.0,82511.6,11.41,325.0
7.0,35611.0,76582.89285714286,12.29,641.0
9.0,111344.0,60611.542372881355,27.18,5659.0
5.0,26783.0,65027.04347826087,17.84,467.0
1.0,23085.0,73432.64705882352,15.73,135.0
9.0,56265.0,66201.63888888889,31.31,1797.0
9.0,93231.0,60864.38181818182,15.27,5883.0
3.0,43278.0,80501.67647058824,31.41,243.0
14.0,72370.0,98009.8275862069,30.87,1880.0
12.0,77825.0,63700.27777777778,14.28,5267.0
5.0,40390.0,81934.33333333333,19.37,1465.0
3.0,37464.0,89611.79310344828,8.19,3230.0
13.0,101125.0,79379.91025641025,13.51,1247.0
4.0,21058.0,108996.31578947368,9.36,452.0
3.0,37807.0,87762.52777777778,23.62,238.0
5.0,40347.0,94310.23529411765,13.89,2249.0
6.0,24619.0,93247.40909090909,10.58,1241.0
3.0,17066.0,84208.92307692308,5.3,191.0
3.0,22157.0,71449.35294117648,22.74,510.0
8.0,30357.0,81522.1,32.22,879.0
2.0,40220.0,73318.26666666666,18.62,166.0
4.0,51430.0,81231.0,14.43,159.0
6.0,40887.0,91653.09677419355,8.36,653.0
2.0,37463.0,79799.19230769231,17.48,2176.0
4.0,28876.0,96399.95833333333,3.09,1298.0
2.0,29630.0,80662.5,12.85,264.0
5.0,20045.0,106387.27777777778,4.96,897.0
3.0,24476.0,90469.8947368421,4.24,2173.0
2.0,16255.0,79939.46666666666,10.76,323.0
6.0,24018.0,98215.52380952382,12.43,2969.0
8.0,62489.0,77103.19512195123,23.04,3018.0
8.0,36558.0,65523.68,19.17,1115.0
5.0,58392.0,77623.56410256411,8.99,1481.0
7.0,54583.0,75141.94117647059,20.54,743.0
4.0,20205.0,80756.4375,9.98,1072.0
10.0,62765.0,64188.48484848485,32.91,1846.0
10.0,21362.0,58847.3,28.53,1503.0
4.0,12727.0,69190.42857142857,0.0,259.0
4.0,19826.0,101618.0,24.06,4175.0
1051.0,24497.0,114473.8,14.49,37765.0
788.0,64237.0,50335.063829787236,10.62,22734.0
942.0,41607.0,140386.96875,7.41,24464.0
205.0,6278.0,188047.5,0.0,7949.0
149.0,6830.0,175644.0,57.1,4132.0
93.0,3260.0,200156.33333333334,0.0,2933.0
277.0,2149.0,243571.0,14.3,94008.0
446.0,49267.0,74524.23333333334,8.75,12360.0
467.0,25029.0,152838.0588235294,38.98,12233.0
805.0,37793.0,137434.125,12.06,15849.0
653.0,24644.0,116340.9,25.92,18531.0
895.0,14270.0,95838.72727272728,17.35,20440.0
584.0,24160.0,145088.13636363635,6.59,12488.0
834.0,37707.0,143567.0294117647,15.71,21487.0
556.0,11428.0,141507.5,0.0,14538.0
838.0,10184.0,146624.57142857142,8.48,18025.0
871.0,30875.0,118559.14814814815,11.49,30787.0
482.0,30798.0,145093.41666666666,8.72,18542.0
847.0,18458.0,157571.23529411765,9.71,21185.0
478.0,54108.0,142294.1219512195,14.57,16379.0
486.0,46506.0,143730.0606060606,23.97,13613.0
539.0,77550.0,109605.14285714286,14.19,19984.0
189.0,37874.0,73504.95238095238,25.86,10170.0
483.0,51255.0,78803.40625,7.89,19812.0
470.0,42322.0,159464.5625,6.33,11773.0
494.0,59201.0,51005.76315789474,24.29,23697.0
135.0,24836.0,59235.92857142857,10.25,6786.0
267.0,60524.0,59557.8,22.03,12399.0
277.0,54573.0,55634.54838709677,26.96,13505.0
306.0,46702.0,76533.74074074074,30.76,13768.0
208.0,40232.0,65039.083333333336,23.67,10331.0
270.0,33567.0,44390.608695652176,14.19,12699.0
761.0,23894.0,103623.4705882353,22.02,20905.0
114.0,21710.0,61325.066666666666,33.66,8110.0
359.0,18291.0,98528.66666666667,13.12,13341.0
122.0,26295.0,47037.92307692308,44.15,8643.0
201.0,45458.0,54731.0,31.84,9882.0
35.0,11358.0,114597.6,8.57,3168.0
538.0,24553.0,145586.30434782608,7.17,23947.0
22.0,9850.0,124464.0,15.91,1220.0
254.0,11449.0,134961.2,21.7,5567.0
404.0,44589.0,124173.5142857143,10.25,20095.0
32.0,10083.0,192102.75,0.0,1576.0
38.0,1783.0,89107.0,0.0,1818.0
30.0,37321.0,86778.41379310345,25.7,2317.0
4.0,14861.0,86501.81818181818,32.46,484.0
12.0,27604.0,82009.1875,30.17,753.0
10.0,30536.0,79201.77272727272,26.26,3195.0
25.0,37407.0,86598.125,32.67,5502.0
27.0,53623.0,92248.89743589744,24.62,9177.0
9.0,15794.0,108193.5,20.12,2159.0
14.0,27446.0,107681.75,3.35,9906.0
24.0,33011.0,109713.36842105263,21.25,7108.0
10.0,22444.0,88546.85,34.13,427.0
25.0,58347.0,104671.93939393939,19.66,3482.0
45.0,79078.0,96411.17647058824,22.7,5581.0
36.0,38865.0,37728.47826086957,31.67,2538.0
18.0,57045.0,33725.425,39.89,1704.0
15.0,62077.0,38982.61224489796,50.84,26979.0
8.0,28247.0,31837.571428571428,42.29,3785.0
15.0,33608.0,32120.821428571428,57.29,3460.0
18.0,86264.0,35585.236363636366,24.68,45352.0
21.0,61971.0,37627.17391304348,25.77,25601.0
18.0,74022.0,42246.166666666664,30.21,11897.0
17.0,39268.0,35939.206896551725,16.71,1665.0
18.0,47858.0,35597.97297297297,25.48,5398.0
17.0,49305.0,70092.60869565218,16.29,3872.0
18.0,69816.0,60757.58620689655,39.83,5656.0
24.0,69727.0,72518.23076923077,22.86,6146.0
5.0,4322.0,107659.5,23.34,1424.0
11.0,41057.0,79607.0625,18.55,3623.0
8.0,64819.0,70535.98113207547,32.25,3294.0
11.0,82057.0,45185.08571428571,27.44,1771.0
16.0,68909.0,41005.36956521739,43.7,1029.0
15.0,66153.0,77169.14285714286,17.9,6991.0
10.0,21162.0,96045.88888888889,18.83,898.0
14.0,60650.0,42876.37777777778,26.48,2751.0
13.0,51370.0,58552.44736842105,33.83,2235.0
28.0,9226.0,31536.85714285714,16.7,2248.0
18.0,32872.0,64702.77777777778,28.08,1418.0
11.0,32221.0,100087.96,27.15,360.0
12.0,26718.0,84755.125,16.64,1808.0
2.0,35492.0,83183.48387096774,25.76,2248.0
4.0,24540.0,78490.91304347826,23.59,274.0
12.0,38141.0,88669.05882352941,16.58,884.0
5.0,34171.0,80542.72,21.37,1144.0
78.0,61363.0,133295.9024390244,3.21,5692.0
7.0,71180.0,64310.73846153846,6.82,281.0
11.0,74649.0,57845.55737704918,48.0,1583.0
10.0,42031.0,90354.03125,17.65,579.0
7.0,82345.0,60267.811320754714,19.61,134.0
19.0,82736.0,51642.605633802814,15.72,7519.0
16.0,94959.0,54760.03389830508,24.07,13556.0
15.0,68203.0,92088.30645161291,31.1,6912.0
9.0,62788.0,78506.68,27.4,2655.0
32.0,59967.0,84678.72340425532,6.89,6638.0
12.0,51407.0,40087.92592592593,14.87,1663.0
8.0,62557.0,59509.63829787234,20.12,1630.0
19.0,85989.0,64325.333333333336,26.94,2494.0
18.0,61859.0,143231.08771929826,5.75,9007.0
13.0,51653.0,83041.57777777778,14.59,574.0
10.0,40126.0,137000.0303030303,26.91,222.0
14.0,63319.0,83818.55102040817,20.27,669.0
18.0,77871.0,47046.39344262295,23.31,15186.0
16.0,86486.0,58089.367647058825,74.0,1397.0
23.0,73277.0,70766.49206349206,24.56,1233.0
21.0,36327.0,103204.89743589744,19.38,2860.0
12.0,75425.0,66015.01612903226,27.0,907.0
17.0,39470.0,46717.5,19.45,2137.0
8.0,53140.0,70510.64864864865,22.6,329.0
14.0,94874.0,64148.88333333333,23.62,1311.0
9.0,42273.0,78106.15789473684,20.01,2319.0
18.0,76323.0,75235.328125,26.34,2462.0
14.0,77477.0,70015.62121212122,11.25,6491.0
17.0,33736.0,136902.25806451612,21.4,1487.0
13.0,21575.0,77394.33333333333,33.23,793.0
19.0,73246.0,60004.142857142855,13.45,2696.0
21.0,83951.0,94128.4857142857,15.95,6599.0
26.0,75036.0,62939.32142857143,30.69,9055.0
19.0,97463.0,75830.06451612903,13.39,4445.0
15.0,47027.0,59593.61111111111,18.75,577.0
5.0,46716.0,114047.64864864865,13.07,438.0
10.0,13435.0,42096.42857142857,15.36,1611.0
10.0,51590.0,53591.27777777778,9.27,1207.0
3.0,74069.0,51788.8125,16.49,1473.0
6.0,21410.0,64562.07142857143,21.92,749.0
6.0,36810.0,86053.13793103448,36.16,464.0
2.0,37511.0,73282.22857142857,5.55,1455.0
5.0,16785.0,91249.30769230769,0.0,1482.0
3.0,28470.0,90942.0,18.96,317.0
4.0,19014.0,108156.26666666666,16.57,990.0
4.0,5648.0,118327.4,44.54,316.0
2.0,33226.0,97608.5,11.21,379.0
4.0,34960.0,82511.6,18.26,360.0
7.0,35611.0,76582.89285714286,17.21,600.0
9.0,111344.0,60611.542372881355,12.68,4934.0
5.0,26783.0,65027.04347826087,20.82,409.0
